"variable","n_missing","pct_missing"
"TIME_FORMAT",608020,100
"Time Format",608020,100
"1977-Q4",593886,97.6754054142956
"1978-Q1",579261,95.2700569060228
"1978-Q2",578996,95.2264728133943
"1978-Q3",578726,95.1820663793954
"1982-Q4",566500,93.1712772606164
"1979-Q1",566371,93.1500608532614
"1979-Q2",566119,93.1086148481958
"1979-Q3",565918,93.0755567251077
"1979-Q4",565362,92.9841123647249
"1980-Q1",565095,92.9401993355482
"1980-Q3",564907,92.909279300023
"1980-Q4",564677,92.871451596987
"1980-Q2",564548,92.8502351896319
"1981-Q2",563884,92.7410282556495
"1981-Q3",563704,92.7114239663169
"1982-Q3",563287,92.6428406960297
"1982-Q1",563268,92.6397157988224
"1982-Q2",563202,92.6288608927338
"1983-Q3",563172,92.6239268445117
"1983-Q2",563115,92.6145521528897
"1981-Q1",562981,92.5925134041643
"1978-Q4",562745,92.5536988914838
"1983-Q1",558792,91.9035558040854
"1981-Q4",558674,91.8841485477451
"1984-Q1",558475,91.8514193612052
"1984-Q3",557887,91.7547120160521
"1984-Q2",557839,91.7468175388967
"1985-Q1",556133,91.4662346633334
"1985-Q2",555822,91.4150850300977
"1985-Q3",555685,91.3925528765501
"1986-Q1",554573,91.2096641557844
"1984-Q4",554568,91.208841814414
"1986-Q2",554450,91.1894345580737
"1986-Q3",554450,91.1894345580737
"1987-Q1",554364,91.1752902865037
"1987-Q2",554231,91.1534160060524
"1987-Q3",554148,91.1397651393046
"1983-Q4",554058,91.1249629946383
"1986-Q4",553740,91.0726620834841
"1988-Q2",553529,91.0379592776553
"1988-Q3",553515,91.0356567218184
"1988-Q1",553502,91.0335186342555
"1988-Q4",553307,91.0014473208118
"1989-Q1",553079,90.9639485543239
"1989-Q3",552818,90.9210223347916
"1987-Q4",552417,90.8550705568896
"1992-Q2",552300,90.8358277688234
"1992-Q1",552272,90.8312226571494
"1990-Q1",552077,90.7991513437058
"1993-Q1",552067,90.7975066609651
"1992-Q3",551949,90.7780994046249
"1993-Q2",551946,90.7776059998026
"1993-Q3",551932,90.7753034439657
"1991-Q2",551876,90.7660932206177
"1990-Q3",551819,90.7567185289958
"1990-Q2",551810,90.7552383145291
"1991-Q3",551740,90.7437255353442
"1991-Q1",551688,90.7351731850926
"1989-Q2",550852,90.5976777079701
"1985-Q4",550116,90.4766290582547
"1994-Q1",549659,90.4014670570047
"1994-Q3",549416,90.3615012664057
"1994-Q2",549391,90.357389559554
"1992-Q4",548788,90.2582151902898
"1990-Q4",548535,90.2166047169501
"1995-Q1",547601,90.0629913489688
"1995-Q2",547472,90.0417749416138
"1995-Q3",547432,90.035196210651
"1989-Q4",546412,89.8674385710996
"1994-Q4",543326,89.3598894773198
"1993-Q4",542473,89.2195980395382
"1991-Q4",541559,89.0692740370383
"1995-Q4",526033,86.5157396138285
"1996-Q3",512041,84.214499523042
"1996-Q2",511985,84.2052892996941
"1996-Q1",511431,84.1141738758594
"1996-Q4",493983,81.2445314298872
"1997-Q1",493743,81.2050590441104
"1997-Q2",493465,81.159336863919
"1997-Q3",489450,80.4989967435282
"1998-Q2",488992,80.4236702740041
"1998-Q3",488401,80.3264695240288
"1998-Q1",488128,80.2815696852077
"1999-Q3",483819,79.5728758922404
"2000-Q2",482715,79.3913029176672
"2001-Q3",482557,79.3653169303641
"2000-Q1",482455,79.348541166409
"1999-Q1",482222,79.3102200585507
"2001-Q2",481806,79.2418012565376
"1999-Q2",481253,79.1508503009769
"2000-Q3",480750,79.0681227591198
"2001-Q1",479456,78.8553008124733
"1999-Q4",478788,78.7454360053946
"1997-Q4",477853,78.5916581691392
"2002-Q1",474947,78.113713364692
"2002-Q2",473965,77.9522055195553
"2002-Q3",473234,77.8319792112102
"2000-Q4",469253,77.1772310121378
"1998-Q4",468093,76.9864478142166
"2003-Q2",466938,76.7964869576659
"2003-Q3",466180,76.6718200059209
"2001-Q4",464385,76.3765994539653
"2002-Q4",463500,76.2310450314134
"2004-Q2",462066,75.9951975263972
"2004-Q3",461881,75.9647708956942
"2004-Q4",460110,75.6734975823164
"2003-Q4",455033,74.8384921548633
"2003-Q1",452747,74.4625176803395
"2005-Q3",451169,74.2029867438571
"2005-Q1",450923,74.1625275484359
"2007-Q1",450490,74.0913127857636
"2006-Q3",450282,74.0571033847571
"2006-Q1",449912,73.9962501233512
"2007-Q2",448900,73.8298082299924
"2006-Q4",448766,73.8077694812671
"2006-Q2",447011,73.5191276602743
"2007-Q3",446616,73.4541626920167
"2005-Q2",445246,73.2288411565409
"2008-Q3",443639,72.9645406401105
"2004-Q1",443451,72.9336206045854
"2009-Q4",441627,72.6336304726818
"2008-Q1",440880,72.5107726719516
"2009-Q1",439887,72.3474556758001
"2009-Q2",439456,72.276569849676
"2011-Q1",438864,72.1792046314266
"2005-Q4",438418,72.1058517811914
"2010-Q3",438349,72.0945034702806
"2007-Q4",438338,72.0926943192658
"2008-Q2",437074,71.8848064208414
"2010-Q1",436393,71.7728035261998
"2009-Q3",436299,71.7573435084372
"2011-Q2",433308,71.2654189006941
"2011-Q3",432805,71.1826913588369
"2010-Q4",429972,70.7167527383968
"2011-Q4",428508,70.4759711851584
"2010-Q2",424721,69.8531298312556
"2008-Q4",424073,69.7465543896582
"2012-Q1",419501,68.9946054406105
"2012-Q3",416875,68.5627117529029
"2013-Q1",416568,68.5122199927634
"2013-Q2",404731,66.5654090325976
"2012-Q4",398513,65.5427453044308
"2012-Q2",379725,62.4527153712049
"2013-Q3",376403,61.9063517647446
"2014-Q3",287447,47.2759119765797
"2014-Q2",267804,44.045261669024
"2013-Q4",266882,43.8936219203316
"2014-Q1",252597,41.5441926252426
"2015-Q1",230497,37.9094437682971
"2015-Q3",230102,37.8444788000395
"2025-Q3",227494,37.4155455412651
"2025-Q2",226566,37.2629189829282
"2023-Q3",226350,37.2273938357291
"2016-Q3",225131,37.0269070096378
"2023-Q4",224841,36.9792112101576
"2020-Q2",223024,36.6803723561725
"2022-Q4",222711,36.6288937863886
"2023-Q2",221992,36.5106410973323
"2016-Q2",221162,36.3741324298543
"2017-Q2",220788,36.3126212953521
"2015-Q2",218845,35.9930594388343
"2019-Q2",218395,35.9190487155028
"2019-Q4",218279,35.8999703957107
"2019-Q3",216820,35.6600111838426
"2020-Q1",216747,35.6480049998355
"2021-Q2",216243,35.5651129897043
"2020-Q4",214888,35.3422584783395
"2021-Q3",213827,35.1677576395513
"2016-Q1",212165,34.8944113680471
"2020-Q3",210565,34.6312621295352
"2018-Q3",209881,34.5187658300714
"2025-Q1",209458,34.4491957501398
"2018-Q2",209273,34.4187691194369
"2024-Q1",209081,34.3871912108154
"2024-Q3",201045,33.0655241603895
"2023-Q1",200883,33.0388802999901
"2019-Q1",199678,32.8406960297359
"2022-Q2",194691,32.0204927469491
"2021-Q1",191302,31.4631097661261
"2018-Q4",189169,31.112298937535
"2022-Q3",187940,30.910167428703
"2021-Q4",184806,30.3947238577678
"2022-Q1",184702,30.3776191572646
"2017-Q3",183819,30.2323936712608
"2024-Q4",183179,30.1271339758561
"2018-Q1",182697,30.0478602677543
"2017-Q4",182123,29.9534554784382
"2016-Q4",178333,29.3301207197132
"2014-Q4",176446,29.0197690865432
"2015-Q4",173775,28.5804743265024
"2024-Q2",172328,28.3424887339232
"2017-Q1",170935,28.1133844281438
"L_CP_COUNTRY",2382,0.391763428834578
"FREQ",0,0
"Frequency",0,0
"L_MEASURE",0,0
"Measure",0,0
"L_POSITION",0,0
"Balance sheet position",0,0
"L_INSTR",0,0
"Type of instruments",0,0
"L_DENOM",0,0
"Currency denomination",0,0
"L_CURR_TYPE",0,0
"Currency type of reporting country",0,0
"L_PARENT_CTY",0,0
"Parent country",0,0
"L_REP_BANK_TYPE",0,0
"Type of reporting institutions",0,0
"L_REP_CTY",0,0
"Reporting country",0,0
"L_CP_SECTOR",0,0
"Counterparty sector",0,0
"Counterparty country",0,0
"L_POS_TYPE",0,0
"Position type",0,0
"COLLECTION",0,0
"Collection Indicator",0,0
"ORG_VISIBILITY",0,0
"Organisation visibility",0,0
"Series",0,0
